"Congress" "states_served" "is_slaveholder" "count"
"730" 23 "DE" "false" 1
"731" 23 "DE" "true" 2
"732" 23 "FL" "true" 1
"733" 23 "GA" "true" 12
"734" 23 "GA" "unknown" 1
"735" 23 "IL" "false" 3
"736" 23 "IL" "true" 4
"737" 23 "IN" "false" 7
"738" 23 "IN" "unknown" 2
"739" 23 "KY" "false" 1
"740" 23 "KY" "true" 14
"741" 23 "LA" "true" 8
"742" 23 "MA" "false" 14
"743" 23 "MA" "unknown" 1
"744" 23 "MD" "true" 10
"745" 23 "MD" "unknown" 2
"746" 23 "ME" "false" 7
"747" 23 "ME" "true" 1
"748" 23 "ME" "unknown" 3
"749" 23 "MI" "false" 1
"750" 23 "MO" "true" 4
"751" 23 "MO" "unknown" 1
"752" 23 "MS" "true" 4
"753" 23 "NC" "true" 12
"754" 23 "NC" "unknown" 2
"755" 23 "NC,AL" "true" 1
"756" 23 "NC,MS" "true" 1
"757" 23 "NH" "false" 6
"758" 23 "NH" "unknown" 1
"759" 23 "NH,MA" "false" 1
"760" 23 "NJ" "true" 2
"761" 23 "NJ" "unknown" 6
"762" 23 "NY" "false" 34
"763" 23 "NY" "unknown" 9
"764" 23 "NY,MI" "false" 1
"765" 23 "OH" "false" 17
"766" 23 "OH" "unknown" 5
"767" 23 "PA" "false" 29
"768" 23 "PA" "unknown" 2
"769" 23 "RI" "false" 4
"770" 23 "SC" "true" 13
"771" 23 "SC" "unknown" 1
"772" 23 "TN" "true" 13
"773" 23 "TN" "unknown" 2
"774" 23 "VA" "true" 25
"775" 23 "VA" "unknown" 2
"776" 23 "VT" "false" 6
"777" 23 "VT" "unknown" 2
"778" 24 "AL" "true" 5
"779" 24 "AL" "unknown" 1
"780" 24 "AR" "true" 3
"781" 24 "CT" "false" 6
"782" 24 "CT" "true" 2
"783" 24 "CT" "unknown" 3
"784" 24 "DE" "false" 2
"785" 24 "DE" "true" 3
"786" 24 "FL" "true" 1
"787" 24 "GA" "true" 15
"788" 24 "GA" "unknown" 2
"789" 24 "IL" "false" 2
"790" 24 "IL" "true" 4
"791" 24 "IN" "false" 8
"792" 24 "IN" "unknown" 2
"793" 24 "KY" "false" 1
"794" 24 "KY" "true" 13
"795" 24 "KY" "unknown" 1
"796" 24 "LA" "true" 6
"797" 24 "MA" "false" 13
"798" 24 "MD" "true" 9
"799" 24 "MD" "unknown" 2
"800" 24 "ME" "false" 7
"801" 24 "ME" "true" 1
"802" 24 "ME" "unknown" 3
"803" 24 "MI" "false" 3
"804" 24 "MI,IA,WI" "true" 1
"805" 24 "MO" "true" 3
"806" 24 "MO" "unknown" 1
"807" 24 "MS" "true" 5
"808" 24 "NC" "true" 12
"809" 24 "NC" "unknown" 3
"810" 24 "NC,AL" "true" 1
"811" 24 "NC,MS" "true" 1
"812" 24 "NH" "false" 6
"813" 24 "NH" "unknown" 2
"814" 24 "NH,MA" "false" 1
"815" 24 "NJ" "false" 1
"816" 24 "NJ" "true" 2
